,code,location,longitude,latitude
440,474,"Mount John Observatory, Lake Tekapo",70.46496,43.88166232276093
441,475,Turin (before 1913), 7.6965 ,44.970561371738945
442,476,"Grange Observatory, Bussoleno", 7.14074,45.04129191324296
443,477,Galleywood, 0.4856 ,51.6086103959994
444,478,Lamalou-les-Bains, 3.0896 ,43.49120717021292
445,479,Sollies-Pont, 6.0505 ,43.09683662059441
446,480,Cockfield, 0.7733 ,52.072780562418465
447,481,Moorwarfen, 7.93067,53.46134350358058
448,482,St. Andrews,57.1854 ,56.24794876118113
449,483,"Carter Observatory, Black Birch Station",73.8036 ,41.6395171377672
450,484,"Happy Valley, Wellington",74.7594 ,41.243900045687546
451,485,"Carter Observatory, Wellington",74.7654 ,41.18737773320262
452,486,Palmerston North,75.47   ,40.093007985129766
453,487,Macnairston Observatory,55.4444 ,55.34873591899081
454,488,Newcastle-upon-Tyne,58.3664 ,54.91017150011344
455,489,Hemingford Abbots,59.87   ,52.26574309991905
456,490,Wimborne Minster,58.00   ,50.72819445268347
457,491,Centro Astronomico de Yebes,56.9000 ,40.42017890901552
458,492,Mickleover,58.47   ,52.77115812492646
459,493,Calar Alto,57.4542 ,37.105122132889825
460,494,Stakenbridge,57.8361 ,52.31933496695849
461,495,Altrincham,57.66247,53.28342973870066
462,496,Bishopstoke,58.6860 ,50.868674752586244
463,497,Loudwater,59.29449,51.514028606053266
464,498,Earls Barton,59.2581 ,52.16859948618398
465,499,Cheam,59.79078,51.27537629832929
466,500,Geocentric, 0.00000,90.0
467,501,Herstmonceux, 0.3475 ,50.774805910323884
468,502,Colchester, 0.84793,51.821679472401414
469,503,Cambridge, 0.0948 ,52.12070560593827
470,504,Le Creusot, 4.3944 ,46.722697088949786
471,505,Simon Stevin, 4.5639 ,51.47178150940109
472,506,Bendestorf, 9.96   ,53.27320791573602
473,507,Nyenheim, 5.22   ,51.902611978576694
474,508,Zeist, 5.29   ,51.902611978576694
